image,common name,scientific name,order,family,description,threatened / endangered / protected,flashcards,,,,,,,
,Black-bellied Whistling-Duck,Dendrocygna autumnalis,Anseriformes,Anatidae,,Least Concern,https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/Whistling_duck_flight02_-_natures_pics-edit1.jpg/500px-Whistling_duck_flight02_-_natures_pics-edit1.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Dendrocygna_autumnalis%2C_London_Wetland_Centre%2C_UK_-_Diliff.jpg/500px-Dendrocygna_autumnalis%2C_London_Wetland_Centre%2C_UK_-_Diliff.jpg,,,,,,
,Eastern gray squirrel,Sciurus carolinensis,Rodentia,Sciuridae,,Least Concern,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/EasternGraySquirrel_GAm.jpg/500px-EasternGraySquirrel_GAm.jpg,,,,,,,
,Eastern Fox squirrel,Sciurus niger,Rodentia,Sciuridae,,Least Concern,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Fox_Squirrel_%2814539535789%29.jpg/500px-Fox_Squirrel_%2814539535789%29.jpg,,,,,,,
,Eurasian Collared Dove,Streptopelia decaocto,Columbiformes,Columbidae,Considered an invasive species in North America,Least Concern,https://wildlife.ca.gov/Portals/0/Images/COQA/2021/eurasian_collared_dove_72dpi.jpg?ver=WHcZXdTlgdtiyVI10FV-dg%3D%3D,,,,,,,
,Rock Pigeons,Columba livia,Columbiformes,Columbidae,,Least Concern,https://lh6.googleusercontent.com/proxy/VGgwED8UwIRi0ETh9XbF3aDfUBUxpzVU1LRUwM5G2mG16mQRxibJYzsSBpCSo6GWOLdEJvcyDFCHd5SoobuTXxLfPL119ybXVEcA-fZrud0y-MoRj1fBuHjcYbat9g,,,,,,,
,House Sparrow,Passer domesticus,Passeriformes,Passeridae,,Least Concern,https://bloximages.chicago2.vip.townnews.com/theadanews.com/content/tncms/assets/v3/editorial/3/d2/3d2f6a38-66e4-11ef-8bd4-afdd14e52a5e/66d1e4a9a942b.image.jpg?crop=1746%2C917%2C0%2C135&resize=1200%2C630&order=crop%2Cresize,https://www.allaboutbirds.org/guide/assets/photo/305874101-480px.jpg,https://base-prod.rspb-prod.magnolia-platform.com/.imaging/focalpoint/_WIDTH_x_HEIGHT_/dam/jcr:f9122933-9ccf-41a5-90b1-e63032e41e72/777455944-Species-House-Sparrow-MALE-and-FEMALE-Perched-on-branch.jpg,,,,,
,European Starling,Sturnus vulgaris,Passeriformes,Sturnidae,,Least Concern,https://www.lakemetroparks.com/KenticoTemplate/media/LakeMetroparks/Blog/Birding%20Blog/European-Starling-634-Tony-Gazso.jpg,https://static01.nyt.com/images/2016/01/10/nyregion/10NATURE/10NATURE-facebookJumbo.jpg,https://www.sialis.org/images/starlings/starling_nest_with_eggsezs.png,,,,,
,Sierra Nevada Red Fox,Vulpes vulpes necator,Carnivora,Canidae,"A subspecies of red fox found in the Oregon Cascades and the Sierra Nevada. It is the only native red fox subspecies in California. It is likely one of the most endangered mammals in North America. Estimates suggest only 18 to 39 individuals remain in the wild.  The High Sierra fox shares most of its physical characteristics with the red fox, though it is slightly smaller. The tail tip is white and the back of the ears is black. ",Critically Imperiled,https://wildlife.ca.gov/portals/0/Images/Conservation/Mammals/SierraNevadaRedFox/RedFox.jpg,,,,,,,
,Cedar Wax Wing,Bombycilla cedrorum,Passeriformes,Bombycillidae,,Least Concern,https://www.birdsandblooms.com/wp-content/uploads/2022/10/GettyImages-1136115716.jpg?fit=680%2C510,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/24944881/640,,,,,,
,Deermouse,Peromyscus californicus,Rodentia,Cricetidae,Monogamous! Males help raise their young.,Least Concern,https://streamline.imgix.net/9909d0de-9797-4416-97c3-b6f877e5307d/1a8abff4-c5aa-4d8b-8822-e66be02e1042/Peromyscus_shutterstock_49595143.jpg?ixlib=rb-1.1.0&w=2000&h=2000&fit=max&or=0&s=a405db5db402c2083d3aa0bede4e2504,,,,,,,
,Blacktail Jack-rabbit,Lepus californicus,Lagomorpha,Leporidae,"3.1-6 lbs, 2 ft long. Born fully furred with eyes open. ",Least Concern,https://veseris.com/media/wysiwyg/wildlife_black-tailed_jackrabbit.jpg,,,,,,,
,Peregrine falcon,Falco peregrinus,Falconiformes,Falconidae,Can be found almost anywhere on Earth. The world's most widespread raptor. Fly up to 190 mph.,,https://www.allaboutbirds.org/guide/assets/photo/303618951-480px.jpg,https://journeynorth.org/jnorth/www/graphics/falcon_egg.jpg,https://images.birdfact.com/production/juvenile-peregrine-falcon_2022-09-07-191926_txni.jpg?w=1200&h=900&q=80&auto=format&fit=crop&dm=1662578366&s=bef93bddeda5c1dbb717801ac83745f2,,,,,
,Cliff swallow,Petrochelidon pyrrhonota,Passeriformes,Hirundinidae,"0.67 -1.09 lbs. 5.1 in. Cliff swallows are extremely social songbirds that can be found in large nesting colonies reaching over 2,000 nests. Males and females look almost identical. ",Least Concern,https://upload.wikimedia.org/wikipedia/commons/3/34/Petrochelidon_pyrrhonota_-flight_-Palo_Alto_Baylands-8.jpg,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/24940431/640,https://www.allaboutbirds.org/guide/assets/og/75334851-1200px.jpg,https://www.allaboutbirds.org/guide/assets/photo/305772321-480px.jpg,,https://www.allaboutbirds.org/guide/assets/photo/68122541-480px.jpg,,https://i1.wp.com/www.nemesisbird.com/wp-content/uploads/2011/07/DSCN2570.jpg
,Alameda Island mole,Scapanus latimanus parvus,Eulipotyphla,Talpidae,,Not Listed,https://inaturalist-open-data.s3.amazonaws.com/photos/220994710/medium.jpg,,,,,,,
,Mount Lyell shrew,Sorex lyelli,Eulipotyphla,Soricidae,,Vulnerable,https://static1.thetravelimages.com/wordpress/wp-content/uploads/2025/01/shutterstock_1347361211.jpg?q=70&fit=contain&w=1200&h=628&dpr=1,,,,,,,
,Point Reyes jumping mouse,Zapus trinotatus orarius,,,Prefer moist habitats and are freqiently found near meadows and rivulets.,Least Concern,https://inaturalist-open-data.s3.amazonaws.com/photos/46458669/medium.jpeg,,,,,,,
,California Leaf-nosed Bat,Phyllostomidae,Chiroptera,Phyllostomidae,"the only bat in North America, north of Mexico, with large ears and leaf-like projections on the nose",Least Concern,https://www.desertmuseum.org/kids/bats/BCI-BATs-Calif-Leaf-nosed.gif,,,,,,,
,Hog-nosed Bat,Choeronycteris mexicana,,,,,,,,,,,,
,California Myotis,Myotis californicus,Chiroptera,Vespertilionidae,,Least Concern,https://www.batcon.org/wp-content/uploads/2020/02/106608-56.jpg,,,,,,,
,Audubon’s Cottontail,Sylvilagus audubonii,Lagomorpha,Leporidae,,Least Concern,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTw2e4HmVDykegO0NSQRZTQjTFdNc-q8WgSFQ&s,https://inaturalist-open-data.s3.amazonaws.com/photos/80100795/large.jpg,,,,,,
,Pygmy Rabbit,Brachylagus idahoensis,Lagomorpha,Leporidae,The world's smallest leporid. The only native rabbit species in North America to dig its own burrow.,Least Concern,https://www.ndow.org/wp-content/uploads/2021/10/brachylagus_idahoensis.png,,,,,,,
,Brush Rabbit,Sylvilagus bachmani,Lagomorpha,Leporidae,A species of cottontail rabbit.,Least Concern,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQbuu5oa6HQ5WjBBcuU39tcw9oFzeIKxgnClQ&s,https://www.birdandhike.com/Wildlife/Mamm/07Lag/2_Lep/Sylvil_bac/p-sb/DSC_13885a.jpg,,,,,,
,Rock Squirrel,Ostospermophilus variegatus,Rodentia,Sciuridae,"Rock squirrels are larger, heavier, and have longer, bushier tails than other ground squirrels",Least Concern,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSeUBk9mQm9pUB_yAkEWdV6ocsEdb11UY0rtw&s,,,,,,,
,California Sea-lion,Zalophus californianus,Carnivora,Otariidae,,Least Concern,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/California_sea_lion_in_La_Jolla_%2870568%29.jpg/500px-California_sea_lion_in_La_Jolla_%2870568%29.jpg,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQ2l4aWeRodCW5zpT_LaGqaN_D_-CoLB88MLh9BhW_e-sgvMmwozw_MfF0ZYhtJOHlKrjol7e3ZurGUkTwNFBvG9g,https://s.hdnux.com/photos/01/17/07/30/20739586/6/rawImage.jpg,,,,,
,Northern Elephant Seal,Mirounga angustirostris,Carnivora,Phocidae,"Females are 880 to 1,980 lb while males are 3,300–5,100 lb and measure 13–16 ft long. One of two species of elephant seal. ",,https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/E-seal_Mom_and_pup%2C_Piedras_Blancas_2009.jpg/960px-E-seal_Mom_and_pup%2C_Piedras_Blancas_2009.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/Mirounga_angustirostris%2C_Point_Reyes.jpg/500px-Mirounga_angustirostris%2C_Point_Reyes.jpg,,,,,,
,Harbor Seal,Phoca vitulina,Carnivora,Phocidae,Weigh up to 370 lbs. Females live longer than males (35 vs 25 years). They can be found on both the Pacific and Atlantic coast.,Least Concern,https://www.montereybayaquarium.org/globalassets/mba/images/animals/marine-mammals/harbor-seals-mam020.jpg,https://thewhaletrail.org/wp-content/uploads/2016/09/pvjessiehugginscascadiaresearch_resize.jpg,https://d3ftabzjnxfdg6.cloudfront.net/app/uploads/2021/02/19-07-13_8644-BB-web-1024x585.jpg,https://www.fisheries.noaa.gov/s3//2022-04/AKR%20750x500%20Haines%20harbor%20seal%20pup.png,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Common_seal_%28Phoca_vitulina%29_2.jpg/500px-Common_seal_%28Phoca_vitulina%29_2.jpg,,,
,Ribbon Seal,Histriophoca fasciata,Carnivora,Phocidae,,Least Concern,https://upload.wikimedia.org/wikipedia/commons/a/a3/Ribbon-seal-male_Josh_London_NOAAedit_%2816086029928%29_%28cropped%29.jpg,,,,,,,
,Ringed Seal,Pusa hispida,Carnivora,Phocidae,,Least Concern,https://inaturalist-open-data.s3.amazonaws.com/photos/104144171/large.jpg,https://upload.wikimedia.org/wikipedia/commons/3/33/Pusa_hispida_hispida_NOAA_1.jpg,,,,,,
,Roosevelt Elk,Cervus canadensis roosevelti,Artiodactyla,Cervidae,"The largest of the four surviving subspecies of elk (Cervus canadensis) in North America. Mature bulls weigh from 700 to 1,200 lb.",Apparently Secure,https://www.ptleader.com/uploads/original/20241126-160949-7c6-Rooseelt%20elk.jpg,https://live.staticflickr.com/65535/17084379250_b1c17351ff_b.jpg,https://www.oceanlight.com/stock-photo/roosevelt-elk-photograph-25887-453498.jpg,,,,,
,Tule Elk,Cervus canadensis nannodes,Artiodactyla,Cervidae,Adult males weigh 450 to 550 lbs and females weigh 375 to 425 lbs. A subspecies of elk found only in California. ,Vulnerable,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Tule_Elk_-_Merced_National_Wildlife_Refuge_Bill_Leikam_12-03-2010.jpg/500px-Tule_Elk_-_Merced_National_Wildlife_Refuge_Bill_Leikam_12-03-2010.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Cervus_canadensis_nannodes_at_Tomales_Point.jpg/500px-Cervus_canadensis_nannodes_at_Tomales_Point.jpg,https://jimcoda.com/wp-content/uploads/2021/07/E0A2292-Elk-Calf-Yellowstone-Jim-Coda-20140619-Enhx2-2.jpg,,,,,
,Rocky Mountain Elk,Cervus canadensis nelsoni,Artiodactyla,Cervidae,The Rocky Mountain Elks are the largest elk in the elk subfamily. From there the elk ranges from 500-750 pounds,Secure,https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/Rocky_Mountain_Bull_Elk.jpg/1280px-Rocky_Mountain_Bull_Elk.jpg,,,,,,,
,California Ground Squirrel,Otospermophilus beecheyi,Rodentia,Sciuridae,"Most common squirrel in california. California ground squirrels live in burrows, which they excavate themselves. Some burrows are occupied communally, but each squirrel has its own entrance.",Least Concern,https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/California_Ground_Squirrel_at_Pebble_Beach%2C_California.jpg/500px-California_Ground_Squirrel_at_Pebble_Beach%2C_California.jpg,,,,,,,
,Western gray squirrel,Sciurus griseus,Rodentia,Sciuridae,,Least Concern,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/WesternGraySquirrel1.jpg/500px-WesternGraySquirrel1.jpg,,,,,,,
,Gray Fox,Urocyon cinereoargenteus,Carnivora,Canidae,,Least Concern,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Gray_fox.jpg/500px-Gray_fox.jpg,,,,,,,